微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
QiO6ZBPDn,":【正片】导演大鹏×罗永浩！我这两辈子
大鹏说，自己有时候感觉像活了两辈子。第一个大鹏从小镇怀着梦想闯荡北京，走得磕磕绊绊，遍体鳞伤。那时候的他永远站在角落，站在聚光灯旁边的阴影处。他努力地采访、主持、拍戏，接各种杂活儿，拼命尝试向舞台中央靠近…… 说不清究竟是哪一天，第二个大鹏发现自己站到了聚光灯下，结果很多人都要跟他重新认识一遍，因为他们大都不记得眼前这个人，不记得其实他们早就见过面。现在的他，无论是导演还是表演，无论是产量还是质量，拿出的都是扎扎实实的成绩。无论是作为导演还是演员，他离这个行业的最高荣誉也不止一次地只有半步之遥。可他还是不能放松，他总是想起第一个大鹏。他觉得一切本该做得更好，他心里好像总是有无限的遗憾、不安，和伴随着焦虑的更高目标。我们非常非常感谢他的信任，感谢他在这个超长的访谈中几乎毫无保留地呈现给了我们两个大鹏，两个命运截然不同但同样温暖柔软真诚的大鹏。
《罗永浩的十字路口》第十四期，我们和大鹏聊聊他的两辈子。
#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口等人的共创视频",,无,"https://f.video.weibocdn.com/o0/NUut6Mj6lx08tOQBrnzW0104120HwsxT0E0g0.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200725&ssig=7kkEKEINqz&KID=unistore,video",无,2025-12-17 12:54,微博视频号,4199,1116,708
Qgn6RBmgx,【转发抽奖送出iPhone 17 Pro Max一部】“罗永浩的十字路口”之年度科技创新分享大会（2025）将于今年12月30日在上海召开。#罗永浩的科技春晚回来了##罗永浩又要开科技发布会了#  [组图共2张] 原图 ,,"https://ww2.sinaimg.cn/large/008tj0GNly1i7vbgxhsmfj30u01hcu0x.jpg,https://ww3.sinaimg.cn/large/008tj0GNly1i7vap2tg4tj30qxcn3e87.jpg",无,无,2025-12-01 12:29,微博网页版,20275,78448,18129
Qj9IGmL4c,:我来上海后租的房子，装的是大金中央空调。两百多平米的房子4室2厅加厨房，一共是7个空调￼内机。换季的时候我想清洗一下就叫了官方客服，结果来了个说每句话都会翻一次白眼的￼客服。看了一圈，说换滤网和清洗的费用是每年15000左右（大金的滤网设计使用寿命是一年，不能清洗只能更换），这个每年的费用，以我中国直播界四大天王里的老四的硬核实力，都感到很有压力 我不知道大金是不是基本都卖给了超级富豪、黑社会和贪官。我问客服这个费用大家就算买得起，怎么可能用得起？他又翻了一个大白眼说，所以可以不清洗不换滤网啊。最逗的是那个换滤网的所谓安装费，我问客服这个滤网怎么换？他在梯子上随手往上一抠就抠出来一个滤网，然后说就是这么个滤网，买新的往里一推就装上了。我说￼就这么一抠一推就收283块￼￼￼￼？他说对。￼我楞了一下，一脑门汗就下来了，我说你不会给我示范这么一下就收283块吧？他翻了个白眼说，那倒不会。嗯，￼这边有没有懂行的朋友给我们指点指点到底是怎么回事？这种费用和服务在空调行业里是常态吗？￼,,https://wx1.sinaimg.cn/large/008tj0GNgy1i8ggdpo96aj316f0thjuf.jpg,无,无,2025-12-19 19:55,微博轻享版,5453,307,907
Qj8DL61An,请教一下，家里用国产的中央空调品牌，每年让客服更换或清洗滤网，以及清洗机器的成本大概是多少？有实际经验的朋友们方便的话在这里说说？￼多谢。  ,,无,无,无,2025-12-19 17:10,微博轻享版,1302,38,266
Qj8wm7DeJ,:长达五个小时干货满满的对话节目，因为话赶话提了几句前公司，被十几家媒体做成了热搜词……￼￼“朋友圈”里贴的东西，为什么会被媒体发出来？当然是因为我当年不懂事，我大xx，跟不少可怕的媒体人加了微信……嗯，￼￼拖了很多年的事决定不再偷懒了，我要再注册一个新的微信，里面只有朋友,,无,无,无,2025-12-19 16:52,微博轻享版,2333,63,414
Qj6CbnZ7s,":12月22号，也就是下周一中午12点，我们的“科技春晚”，也就是十字路口的年度科技创新分享大会，将会准时放票，届时大家请锁定大麦App。
本次售票要求实名制，不允许转让，入场时会核对门票信息和身份信息，请随身带好购票用的身份证或其他证件。如果不确定到时候能不能来，请一定慎重购买，把机会让给有空来的朋友。
大会举办地点是，上海市徐汇区西岸国际会展中心。谢谢大家对本次大会的关注和支持，我们12月30号见！
#罗永浩的科技春晚回来了##罗永浩又要开科技发布会了##罗永浩的十字路口# 罗永浩的十字路口的微博视频",,无,"https://f.video.weibocdn.com/o0/pUVJz9vGlx08tRSfmZvi010412007TDb0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200736&ssig=sT8g3p1UCU&KID=unistore,video",无,2025-12-19 12:00,微博视频号,875,132,276
QiXbkqC1l,【音频版】导演大鹏×罗永浩！我这两辈子播客《罗永浩的十字路口》第十四期，微博音频完整版已经上线，欢迎收听。#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口##微博声浪计划# #听见微博# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-12-18 12:00,微博音频,523,49,101
QiWGTnG9u,刚刚一看才知道，今年居然点了五百多杯咖啡。我一个人能喝这么多吗？回想了一下，这几百杯里一半左右是给同事们点的（当然，有些是个别同事用我的手机点的^_^）特别是最近，大家筹备年底大会很辛苦，点得特别勤。顺便问一下，你们今年点了多少杯咖啡？  原图 ,,https://wx1.sinaimg.cn/large/008xEkz6ly8i8ettt3yyxj30zi1qlnho.jpg,无,无,2025-12-18 10:45,微博  weibo.com,852,45,352
QiVUBcIez,有的弹幕确实有水平，“大鹏提起前公司的时候遗憾但是平静，老罗提起前公司的时候怒骂但是嬉笑，其实只是性格上的差异，对他们自己来说，都是自洽的”。  ,,无,无,无,2025-12-18 08:46,微博网页版,2164,74,200
QiQTFiAnD,大鹏第一次感觉到命运的齿轮在转动……#大鹏跟罗永浩说自己像活了两辈子##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/b0Ftpsaalx08tOWZXYVq010412009B2E0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200744&ssig=PnPIWS48TX&KID=unistore,video",无,2025-12-17 20:00,微博视频号,429,36,26
